problem,best,devb,next,devn,rand,devr,maxb,timeb,maxn,timen,maxr ,timer
sastp10,31.02,0,33,2.03,26.21,0,31.02,0.00,33.67,0.00,26.21,0.01
sastp20,57.22,1.23,54.87,0,22.64,2.29,59.64,0.02,54.87,0.02,26.09,0.01
sastp50,164.78,3.74,162.17,6.03,98.79,0,169.03,0.18,171.98,0.13,98.79,0.02
sastp100,360.18,7.72,356.89,7.58,178.64,3.05,379.24,1.24,373.80,0.59,183.60,0.02
sastp200,736.23,12.93,731.49,11.46,418.58,5.98,757.25,7.31,756.27,2.60,426.13,0.02
sastp500,1966.91,28.01,1949.6,20.93,1116.9,11.59,2031.62,107.10,2010.13,23.80,1124.54,0.06
sastp1000,3992.06,26.28,3967.14,32.24,2267.21,43.63,4060.39,799.38,4036.59,156.62,2382.30,0.13
