problem,stamina,time
sastp10,43.2979,0.000241
sastp20,70.4877,0.000687
sastp50,172.784,0.001669
sastp100,378.099,0.008394
sastp200,803.431,0.015102
sastp500,2040.74,0.132284
sastp1000,4313.89,0.862252
