sastp100,423.974,0.156075,0.120188
sastp100,419.575,0.170832,0.135778
sastp100,413.535,0.117634,0.08343
sastp100,416.215,0.145703,0.111412
sastp100,419.793,0.15192,0.117054
sastp100,428.091,0.170472,0.136382
sastp100,423.11,0.143142,0.105765
sastp100,401.72,0.167639,0.130974
sastp100,431.937,0.149834,0.116393
sastp100,426.266,0.136839,0.102455
sastp100,423.352,0.178043,0.141757
sastp100,429.124,0.135296,0.099568
sastp100,423.45,0.136636,0.100488
sastp100,430.388,0.157151,0.12064
sastp100,423.339,0.138554,0.104553
sastp100,432.234,0.153715,0.120289
sastp100,421.451,0.159332,0.123798
sastp100,434.438,0.151449,0.115264
sastp100,426.044,0.147861,0.112825
sastp100,430.743,0.150644,0.11492
sastp100,415.486,0.132388,0.098665
sastp100,422.296,0.141451,0.107694
sastp100,431.93,0.138739,0.103228
sastp100,423.291,0.149051,0.113569
sastp100,417.614,0.10629,0.073471
sastp100,410.804,0.131634,0.09775
sastp100,431.68,0.1429,0.106747
sastp1000,4174.07,0.93659,0.581094
sastp1000,4151.27,0.791068,0.485846
sastp1000,4185.09,0.952997,0.607674
sastp1000,4146.49,0.996726,0.698785
sastp1000,4132.47,0.623897,0.271754
sastp20,55.3084,0.009985,0.004749
sastp20,66.0199,0.012164,0.00703
sastp20,57.9236,0.008536,0.00339
sastp20,55.6344,0.007041,0.002104
sastp20,67.1249,0.011431,0.006578
sastp20,59.5351,0.015011,0.010091
sastp20,69.6854,0.012285,0.006855
sastp20,54.3965,0.010092,0.005294
sastp20,55.1695,0.011427,0.006639
sastp20,58.8689,0.014143,0.008851
sastp20,56.8336,0.010549,0.00554
sastp20,56.0649,0.01056,0.005821
sastp20,62.3671,0.013909,0.008659
sastp20,71.2446,0.011986,0.006816
sastp20,59.0521,0.011969,0.006924
sastp20,54.9362,0.014493,0.009169
sastp20,66.0892,0.016231,0.010927
sastp20,58.2422,0.011069,0.005936
sastp20,62.6501,0.013109,0.007293
sastp20,63.4488,0.017955,0.012588
sastp20,62.1499,0.01087,0.005697
sastp20,68.8606,0.009983,0.004725
sastp20,60.1084,0.010576,0.005696
sastp20,59.2299,0.00924,0.004133
sastp20,51.3339,0.009676,0.004688
sastp20,58.3357,0.00977,0.004682
sastp20,69.5457,0.009243,0.004157
sastp20,59.7902,0.008982,0.004101
sastp20,60.7855,0.013482,0.009005
sastp20,56.007,0.009261,0.004148
sastp200,784.265,0.249237,0.182719
sastp200,793.309,0.282171,0.209923
sastp200,775.427,0.318764,0.252478
sastp200,806.09,0.224874,0.155066
sastp200,802.397,0.370723,0.297412
sastp200,768.196,0.226905,0.158253
sastp200,787.901,0.234047,0.167735
sastp200,803.941,0.302817,0.229465
sastp200,766.344,0.281205,0.213385
sastp200,760.851,0.26122,0.195134
sastp200,769.821,0.228504,0.159523
sastp200,775.017,0.180858,0.11425
sastp200,780.92,0.289301,0.219983
sastp200,774.72,0.268692,0.200782
sastp200,787.441,0.272628,0.202705
sastp200,781.102,0.262155,0.198469
sastp200,789.45,0.23322,0.164818
sastp200,771.413,0.282709,0.215339
sastp200,799.625,0.318297,0.245955
sastp200,780.618,0.240258,0.171581
sastp200,771.126,0.251013,0.182008
sastp200,780.095,0.276974,0.207369
sastp200,786.205,0.321833,0.254134
sastp200,777.282,0.306592,0.240062
sastp200,792.203,0.222801,0.154643
sastp200,775.628,0.242741,0.176022
sastp200,790.758,0.310039,0.241269
sastp200,751.597,0.245444,0.179758
sastp200,785.727,0.249159,0.181658
sastp200,781.048,0.294081,0.225313
sastp50,177.292,0.037231,0.021701
sastp50,173.488,0.041637,0.026465
sastp50,182.628,0.050642,0.034053
sastp50,181.322,0.034918,0.019246
sastp50,185.257,0.04535,0.027843
sastp50,175.951,0.039371,0.023587
sastp50,173.53,0.042344,0.02628
sastp50,181.119,0.056263,0.038804
sastp50,174.402,0.039211,0.022795
sastp50,181.478,0.050227,0.033094
sastp50,180.814,0.054346,0.037447
sastp50,186.926,0.045229,0.027382
sastp50,180.068,0.038433,0.022163
sastp50,179.607,0.038191,0.022315
sastp50,187.303,0.037897,0.021079
sastp50,177.43,0.042966,0.026716
sastp50,177.132,0.036213,0.020459
sastp50,186.93,0.046662,0.028634
sastp50,179.377,0.071927,0.055637
sastp50,183.048,0.050172,0.033328
sastp50,176.189,0.040754,0.025403
sastp50,177.653,0.031791,0.016798
sastp50,182.799,0.035409,0.019235
sastp50,174.923,0.038975,0.022385
sastp50,179.501,0.032921,0.017409
sastp50,183.455,0.053894,0.036073
sastp50,174.613,0.040859,0.025188
sastp50,182.522,0.043318,0.02727
sastp50,169.697,0.044527,0.029323
sastp50,173.071,0.031367,0.01634
sastp500,2109.75,0.711175,0.555037
sastp500,2076.27,0.979719,0.790417
sastp500,2016.6,0.375655,0.210416
sastp500,2131.42,0.995751,0.852228
sastp500,2116.47,0.978263,0.829027
