problem,stamina,time,stamina1,time1
sastp10,36.9904,0.000317,43.2979,0.000118
sastp20,67.2554,0.000634,67.2554,0.000188
sastp50,161.933,0.002232,172.778,0.000422
sastp100,374.093,0.001538,375.028,0.000964
sastp200,793.968,0.007724,796.596,0.000937
sastp500,2014.63,0.043226,2029.89,0.005059
sastp1000,4264.6,0.43013,4300.32,0.041532
