problem,satisf,time
sastp10,41.8889,0.000228
sastp20,71.7367,0.001154
sastp50,179.576,0.006042
sastp100,451.928,0.072155
sastp200,904.311,0.503937
sastp500,2474.62,17.7636
sastp1000,5203.59,156.448
